R_version	name	version	date_time	hash	binary_location
4.3.0	stats	4.3.0	2023-06-02T18:59:08Z	bb23e0ca1b6b845a0073cf9a3806f609	/cloud/project/ds_2023/r_4_2_cache/library/stats/4.3.0/bb23e0ca1b6b845a0073cf9a3806f609/stats
4.3.0	stats4	4.3.0	2023-06-02T18:59:08Z	a94401c42d71a47d31b846ee7d159665	/cloud/project/ds_2023/r_4_2_cache/library/stats4/4.3.0/a94401c42d71a47d31b846ee7d159665/stats4
4.3.0	stringi	1.7.12	2023-06-02T18:59:08Z	62afc461a011b765c21e8d04f700adf4	/cloud/project/ds_2023/r_4_2_cache/library/stringi/1.7.12/62afc461a011b765c21e8d04f700adf4/stringi
4.3.0	stringr	1.5.0	2023-06-02T18:59:08Z	68679ecf4324332348e55075f5f1c850	/cloud/project/ds_2023/r_4_2_cache/library/stringr/1.5.0/68679ecf4324332348e55075f5f1c850/stringr
4.3.0	survival	3.5.5	2023-06-02T18:59:08Z	72b7b6b953483976b11bd54daf5f2e24	/cloud/project/ds_2023/r_4_2_cache/library/survival/3.5-5/72b7b6b953483976b11bd54daf5f2e24/survival
4.3.0	sys	3.4.2	2023-06-02T18:59:09Z	89525fe84d59d2b083ff9d68e3aa0154	/cloud/project/ds_2023/r_4_2_cache/library/sys/3.4.2/89525fe84d59d2b083ff9d68e3aa0154/sys
4.3.0	systemfonts	1.0.4	2023-06-02T18:59:09Z	0d1458c32f71663d0e0537b9b4e41818	/cloud/project/ds_2023/r_4_2_cache/library/systemfonts/1.0.4/0d1458c32f71663d0e0537b9b4e41818/systemfonts
4.3.0	tcltk	4.3.0	2023-06-02T18:59:09Z	ca88094cda2fc3b0f74dd572d38cf065	/cloud/project/ds_2023/r_4_2_cache/library/tcltk/4.3.0/ca88094cda2fc3b0f74dd572d38cf065/tcltk
4.3.0	testthat	3.1.8	2023-06-02T18:59:09Z	4e2b4ca71982502f6b97e4aa75a6a57e	/cloud/project/ds_2023/r_4_2_cache/library/testthat/3.1.8/4e2b4ca71982502f6b97e4aa75a6a57e/testthat
4.3.0	textshaping	0.3.6	2023-06-02T18:59:09Z	e0953e96c0f3c7a2aaeecb588b604f78	/cloud/project/ds_2023/r_4_2_cache/library/textshaping/0.3.6/e0953e96c0f3c7a2aaeecb588b604f78/textshaping
4.3.0	tibble	3.2.1	2023-06-02T18:59:09Z	3df2e2644f2de9fd6a1446ffa22fb7ac	/cloud/project/ds_2023/r_4_2_cache/library/tibble/3.2.1/3df2e2644f2de9fd6a1446ffa22fb7ac/tibble
4.3.0	tidyr	1.3.0	2023-06-05T17:12:02Z	ff306b5940e0ec3b7a83c356fa749d0c	/cloud/project/ds_2023/r_4_2_cache/library/tidyr/1.3.0/ff306b5940e0ec3b7a83c356fa749d0c/tidyr
4.3.0	tidyselect	1.2.0	2023-06-02T18:59:10Z	c0507f9fd327e57341444a6a550f5b90	/cloud/project/ds_2023/r_4_2_cache/library/tidyselect/1.2.0/c0507f9fd327e57341444a6a550f5b90/tidyselect
