name	hashes	dependencies
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	utils
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	vctrs
ellipsis	d1711f1859ac143cc6004248153bd91d	rlang
evaluate	8fd5e078e2097e9f4b9bcb9b6de384e8	methods
fansi	9860a2bbd8693d32db64e31893edb5df	grDevices
fansi	9860a2bbd8693d32db64e31893edb5df	utils
fontawesome	db2f53eea892d2f8c320f8bc405c101c	rlang
fontawesome	db2f53eea892d2f8c320f8bc405c101c	htmltools
foreign	eed03f640439e792d8e71e8a293cd3a6	methods
foreign	eed03f640439e792d8e71e8a293cd3a6	utils
foreign	eed03f640439e792d8e71e8a293cd3a6	stats
fs	6bfbf501a1cdfca908aa11f8bfb521e7	methods
generics	5e9ad93094ab96db3e025e0840016af9	methods
gert	41d35b114fde3ee7f13928f298e52cbf	askpass
gert	41d35b114fde3ee7f13928f298e52cbf	credentials
gert	41d35b114fde3ee7f13928f298e52cbf	openssl
gert	41d35b114fde3ee7f13928f298e52cbf	rstudioapi
gert	41d35b114fde3ee7f13928f298e52cbf	sys
gert	41d35b114fde3ee7f13928f298e52cbf	zip
gh	ca282afa9de4c4f85150001089904a15	cli
gh	ca282afa9de4c4f85150001089904a15	gitcreds
gh	ca282afa9de4c4f85150001089904a15	httr2
gh	ca282afa9de4c4f85150001089904a15	ini
gh	ca282afa9de4c4f85150001089904a15	jsonlite
gh	ca282afa9de4c4f85150001089904a15	rlang
glue	00d6cd245f7df1f2721ae176a4bdc8f9	methods
graphics	5f57086f801ee66619ea36e6a85b59cf	grDevices
grid	0dfafbc311b568042842edde6cda81a1	grDevices
grid	0dfafbc311b568042842edde6cda81a1	utils
highr	233f2a74522ea6959f946223a8c877c2	xfun
hms	fb9dfd8c169b445b88b249b31971c88c	lifecycle
hms	fb9dfd8c169b445b88b249b31971c88c	methods
hms	fb9dfd8c169b445b88b249b31971c88c	pkgconfig
hms	fb9dfd8c169b445b88b249b31971c88c	rlang
hms	fb9dfd8c169b445b88b249b31971c88c	vctrs
htmltools	d418bd6f1843990524f42d915ba92ca9	utils
htmltools	d418bd6f1843990524f42d915ba92ca9	digest
htmltools	d418bd6f1843990524f42d915ba92ca9	grDevices
htmltools	d418bd6f1843990524f42d915ba92ca9	base64enc
htmltools	d418bd6f1843990524f42d915ba92ca9	rlang
htmltools	d418bd6f1843990524f42d915ba92ca9	fastmap
htmltools	d418bd6f1843990524f42d915ba92ca9	ellipsis
htmlwidgets	dae4135a353a4194e47b01c08fcbcbaa	grDevices
htmlwidgets	dae4135a353a4194e47b01c08fcbcbaa	htmltools
htmlwidgets	dae4135a353a4194e47b01c08fcbcbaa	jsonlite
htmlwidgets	dae4135a353a4194e47b01c08fcbcbaa	yaml
htmlwidgets	dae4135a353a4194e47b01c08fcbcbaa	knitr
htmlwidgets	dae4135a353a4194e47b01c08fcbcbaa	rmarkdown
httpuv	346b3539ee16a2dc4b0376adf5a66dd7	Rcpp
httpuv	346b3539ee16a2dc4b0376adf5a66dd7	utils
httpuv	346b3539ee16a2dc4b0376adf5a66dd7	R6
httpuv	346b3539ee16a2dc4b0376adf5a66dd7	promises
httpuv	346b3539ee16a2dc4b0376adf5a66dd7	later
httr	64e1413484d4a673b644fa2b89762dc4	curl
httr	64e1413484d4a673b644fa2b89762dc4	jsonlite
httr	64e1413484d4a673b644fa2b89762dc4	mime
httr	64e1413484d4a673b644fa2b89762dc4	openssl
httr	64e1413484d4a673b644fa2b89762dc4	R6
httr2	34e43a104450213a2f051a652845af94	cli
httr2	34e43a104450213a2f051a652845af94	curl
httr2	34e43a104450213a2f051a652845af94	glue
httr2	34e43a104450213a2f051a652845af94	magrittr
httr2	34e43a104450213a2f051a652845af94	openssl
httr2	34e43a104450213a2f051a652845af94	R6
httr2	34e43a104450213a2f051a652845af94	rappdirs
httr2	34e43a104450213a2f051a652845af94	rlang
httr2	34e43a104450213a2f051a652845af94	withr
jquerylib	3f6707eef7a52e919f083cfe0239f29b	htmltools
jsonlite	98018f81d37e85455daacf911866e45a	methods
knitr	646274bd421568d1602f18157b88730c	evaluate
knitr	646274bd421568d1602f18157b88730c	highr
knitr	646274bd421568d1602f18157b88730c	methods
knitr	646274bd421568d1602f18157b88730c	tools
knitr	646274bd421568d1602f18157b88730c	xfun
knitr	646274bd421568d1602f18157b88730c	yaml
later	c0539244c5980d47c1331275319a927c	Rcpp
later	c0539244c5980d47c1331275319a927c	rlang
lattice	31d99570b1cd33030b57d5ecb2de8aa7	grid
lattice	31d99570b1cd33030b57d5ecb2de8aa7	grDevices
lattice	31d99570b1cd33030b57d5ecb2de8aa7	graphics
lattice	31d99570b1cd33030b57d5ecb2de8aa7	stats
lattice	31d99570b1cd33030b57d5ecb2de8aa7	utils
lifecycle	75e2bd94a18e9c1e5062c8a56f9c0d0f	cli
lifecycle	75e2bd94a18e9c1e5062c8a56f9c0d0f	glue
lifecycle	75e2bd94a18e9c1e5062c8a56f9c0d0f	rlang
memoise	9e0470fa957c26e1b2f75cfe32d22c6b	rlang
memoise	9e0470fa957c26e1b2f75cfe32d22c6b	cachem
methods	0ce103d44ad036715cdd029c205e36f4	utils
